,Coefficient,MAE,exp_var
summit_elev,21.12508691199135,5.1730013387241955,0.9300154541458377
vertical_drop,6.437831062439082,5.1730013387241955,0.9300154541458377
base_elev,19.010842906799986,5.1730013387241955,0.9300154541458377
trams,540762187165.7732,5.1730013387241955,0.9300154541458377
fastEight,53162220215.96672,5.1730013387241955,0.9300154541458377
fastSixes,629358370715.2859,5.1730013387241955,0.9300154541458377
fastQuads,2122979468593.2085,5.1730013387241955,0.9300154541458377
quad,1267286664653.1106,5.1730013387241955,0.9300154541458377
triple,1563657682480.7776,5.1730013387241955,0.9300154541458377
double,1752844470225.6423,5.1730013387241955,0.9300154541458377
surface,1989072562707.5588,5.1730013387241955,0.9300154541458377
total_chairs,5600018055142.043,5.1730013387241955,0.9300154541458377
Runs,1.0590908708448943,5.1730013387241955,0.9300154541458377
TerrainParks,0.1250100683131965,5.1730013387241955,0.9300154541458377
LongestRun_mi,0.3533174190366615,5.1730013387241955,0.9300154541458377
SkiableTerrain_ac,0.20171877914915304,5.1730013387241955,0.9300154541458377
Snow Making_ac,0.5417753700808952,5.1730013387241955,0.9300154541458377
daysOpenLastYear,0.18693044447602222,5.1730013387241955,0.9300154541458377
yearsOpen,0.35387460131523607,5.1730013387241955,0.9300154541458377
averageSnowfall,0.3744884005742609,5.1730013387241955,0.9300154541458377
AdultWeekday,19.129866686994557,5.1730013387241955,0.9300154541458377
projectedDaysOpen,0.062464669624326064,5.1730013387241955,0.9300154541458377
NightSkiing_ac,0.7048406347704728,5.1730013387241955,0.9300154541458377
clusters,1.0356640441687268,5.1730013387241955,0.9300154541458377
Alaska,4263783842632.979,5.1730013387241955,0.9300154541458377
Arizona,3486684053785.1626,5.1730013387241955,0.9300154541458377
California,10966033364744.172,5.1730013387241955,0.9300154541458377
Colorado,11205916305526.125,5.1730013387241955,0.9300154541458377
Connecticut,5487662054909.447,5.1730013387241955,0.9300154541458377
Idaho,8409397062700.55,5.1730013387241955,0.9300154541458377
Illinois,4915859609741.641,5.1730013387241955,0.9300154541458377
Indiana,3486684053785.206,5.1730013387241955,0.9300154541458377
Iowa,4263783842632.87,5.1730013387241955,0.9300154541458377
Maine,7317023447809.459,5.1730013387241955,0.9300154541458377
Maryland,2469213398100.509,5.1730013387241955,0.9300154541458377
Massachusetts,8064034180887.695,5.1730013387241955,0.9300154541458377
Michigan,12718705827277.832,5.1730013387241955,0.9300154541458377
Minnesota,9054578431607.986,5.1730013387241955,0.9300154541458377
Missouri,3486684053785.3755,5.1730013387241955,0.9300154541458377
Montana,8409397062700.028,5.1730013387241955,0.9300154541458377
Nevada,4915859609741.609,5.1730013387241955,0.9300154541458377
New Hampshire,9649070758938.334,5.1730013387241955,0.9300154541458377
New Jersey,3486684053785.7275,5.1730013387241955,0.9300154541458377
New Mexico,7317023447807.472,5.1730013387241955,0.9300154541458377
New York,13477081988618.883,5.1730013387241955,0.9300154541458377
North Carolina,6002177107960.006,5.1730013387241955,0.9300154541458377
Ohio,5487662054908.17,5.1730013387241955,0.9300154541458377
Oregon,7700796820006.789,5.1730013387241955,0.9300154541458377
Pennsylvania,10464480446624.969,5.1730013387241955,0.9300154541458377
Rhode Island,2469213398100.1567,5.1730013387241955,0.9300154541458377
South Dakota,3486684053785.2305,5.1730013387241955,0.9300154541458377
Tennessee,2469213398100.949,5.1730013387241955,0.9300154541458377
Utah,8739004904796.347,5.1730013387241955,0.9300154541458377
Vermont,9357537630299.12,5.1730013387241955,0.9300154541458377
Virginia,4915859609742.355,5.1730013387241955,0.9300154541458377
Washington,7700796820007.21,5.1730013387241955,0.9300154541458377
West Virginia,4915859609742.788,5.1730013387241955,0.9300154541458377
Wisconsin,9649070758937.12,5.1730013387241955,0.9300154541458377
Wyoming,6909292922487.35,5.1730013387241955,0.9300154541458377
